LAT, LONG, EL, TIMESTAMP, TIME
40.7616258,-74.0019668,7.704,2012-02-02T19:47:55Z,1328230075.0
40.7615428,-74.0020571,6.687,2012-02-02T19:47:57Z,1328230077.0
40.7613910,-74.0021777,5.219,2012-02-02T19:48:00Z,1328230080.0
40.7612178,-74.0022916,3.287,2012-02-02T19:48:03Z,1328230083.0
40.7611087,-74.0023619,1.272,2012-02-02T19:48:05Z,1328230085.0
40.7610081,-74.0024239,0.020,2012-02-02T19:48:07Z,1328230087.0
40.7608652,-74.0025207,0.000,2012-02-02T19:48:10Z,1328230090.0
40.7607157,-74.0026234,0.000,2012-02-02T19:48:13Z,1328230093.0
40.7606068,-74.0026930,0.000,2012-02-02T19:48:15Z,1328230095.0
40.7604639,-74.0028023,0.000,2012-02-02T19:48:18Z,1328230098.0
40.7603797,-74.0028802,0.029,2012-02-02T19:48:20Z,1328230100.0
40.7602958,-74.0029482,0.022,2012-02-02T19:48:22Z,1328230102.0
40.7601608,-74.0030529,0.008,2012-02-02T19:48:25Z,1328230105.0
40.7600302,-74.0031714,0.000,2012-02-02T19:48:28Z,1328230108.0
40.7598827,-74.0032899,0.000,2012-02-02T19:48:31Z,1328230111.0
40.7597785,-74.0033586,0.000,2012-02-02T19:48:33Z,1328230113.0
40.7596648,-74.0034481,0.436,2012-02-02T19:48:36Z,1328230116.0
40.7595328,-74.0035513,1.732,2012-02-02T19:48:39Z,1328230119.0
40.7594192,-74.0036172,3.311,2012-02-02T19:48:41Z,1328230121.0
40.7592644,-74.0037251,4.286,2012-02-02T19:48:44Z,1328230124.0
40.7591046,-74.0038390,4.570,2012-02-02T19:48:47Z,1328230127.0
40.7589828,-74.0039275,3.911,2012-02-02T19:48:49Z,1328230129.0
40.7587879,-74.0040606,2.233,2012-02-02T19:48:52Z,1328230132.0
40.7586326,-74.0041602,0.565,2012-02-02T19:48:55Z,1328230135.0
40.7584837,-74.0042774,0.000,2012-02-02T19:48:58Z,1328230138.0
40.7583548,-74.0043830,0.000,2012-02-02T19:49:01Z,1328230141.0
40.7582370,-74.0044878,0.000,2012-02-02T19:49:04Z,1328230144.0
40.7581428,-74.0045632,0.000,2012-02-02T19:49:06Z,1328230146.0
40.7580057,-74.0046764,0.555,2012-02-02T19:49:09Z,1328230149.0
40.7579196,-74.0047510,1.864,2012-02-02T19:49:11Z,1328230151.0
40.7577127,-74.0048750,3.470,2012-02-02T19:49:14Z,1328230154.0
40.7575761,-74.0049508,4.726,2012-02-02T19:49:16Z,1328230156.0
40.7574011,-74.0050582,5.721,2012-02-02T19:49:19Z,1328230159.0
40.7572871,-74.0051353,6.392,2012-02-02T19:49:21Z,1328230161.0
40.7571887,-74.0052040,6.154,2012-02-02T19:49:23Z,1328230163.0
40.7570494,-74.0053078,5.115,2012-02-02T19:49:26Z,1328230166.0
40.7569317,-74.0053861,4.134,2012-02-02T19:49:28Z,1328230168.0
40.7567668,-74.0054947,3.079,2012-02-02T19:49:31Z,1328230171.0
40.7566076,-74.0056023,1.614,2012-02-02T19:49:34Z,1328230174.0
40.7565056,-74.0056751,0.336,2012-02-02T19:49:36Z,1328230176.0
40.7563208,-74.0058029,0.000,2012-02-02T19:49:39Z,1328230179.0
40.7562109,-74.0058782,0.000,2012-02-02T19:49:41Z,1328230181.0
40.7560625,-74.0059851,0.000,2012-02-02T19:49:44Z,1328230184.0
40.7559105,-74.0060951,0.000,2012-02-02T19:49:47Z,1328230187.0
40.7557972,-74.0061803,0.017,2012-02-02T19:49:49Z,1328230189.0
40.7556298,-74.0062964,0.021,2012-02-02T19:49:52Z,1328230192.0
40.7554913,-74.0064097,0.010,2012-02-02T19:49:55Z,1328230195.0
40.7553908,-74.0064959,0.002,2012-02-02T19:49:57Z,1328230197.0
40.7552554,-74.0066135,0.000,2012-02-02T19:50:00Z,1328230200.0
40.7551637,-74.0066916,0.000,2012-02-02T19:50:02Z,1328230202.0
40.7550872,-74.0067629,0.000,2012-02-02T19:50:04Z,1328230204.0
40.7550044,-74.0068350,0.197,2012-02-02T19:50:06Z,1328230206.0
40.7548451,-74.0069551,0.710,2012-02-02T19:50:09Z,1328230209.0
40.7546739,-74.0070724,1.356,2012-02-02T19:50:12Z,1328230212.0
40.7545532,-74.0071515,2.118,2012-02-02T19:50:14Z,1328230214.0
40.7543647,-74.0072520,2.999,2012-02-02T19:50:17Z,1328230217.0
40.7541804,-74.0073249,3.445,2012-02-02T19:50:20Z,1328230220.0
40.7540715,-74.0073693,2.839,2012-02-02T19:50:22Z,1328230222.0
40.7539600,-74.0074130,1.470,2012-02-02T19:50:24Z,1328230224.0
40.7538453,-74.0074533,0.296,2012-02-02T19:50:26Z,1328230226.0
40.7536930,-74.0075081,0.000,2012-02-02T19:50:29Z,1328230229.0
40.7535331,-74.0075726,0.000,2012-02-02T19:50:32Z,1328230232.0
40.7534098,-74.0076216,0.000,2012-02-02T19:50:34Z,1328230234.0
40.7532636,-74.0076793,0.000,2012-02-02T19:50:37Z,1328230237.0
40.7531278,-74.0077325,0.016,2012-02-02T19:50:40Z,1328230240.0
40.7529716,-74.0077928,0.155,2012-02-02T19:50:43Z,1328230243.0
40.7528566,-74.0078379,0.739,2012-02-02T19:50:45Z,1328230245.0
40.7527527,-74.0078860,1.714,2012-02-02T19:50:47Z,1328230247.0
40.7525928,-74.0079448,2.711,2012-02-02T19:50:50Z,1328230250.0
40.7524371,-74.0080050,3.268,2012-02-02T19:50:53Z,1328230253.0
40.7523378,-74.0080407,3.185,2012-02-02T19:50:55Z,1328230255.0
40.7521626,-74.0081043,2.860,2012-02-02T19:50:58Z,1328230258.0
40.7520340,-74.0081481,2.639,2012-02-02T19:51:00Z,1328230260.0
40.7519227,-74.0081858,2.197,2012-02-02T19:51:02Z,1328230262.0
40.7517700,-74.0082498,1.453,2012-02-02T19:51:05Z,1328230265.0
40.7515786,-74.0083172,0.796,2012-02-02T19:51:08Z,1328230268.0
40.7514025,-74.0083839,0.503,2012-02-02T19:51:11Z,1328230271.0
40.7512249,-74.0084559,0.470,2012-02-02T19:51:14Z,1328230274.0
40.7511178,-74.0084983,0.922,2012-02-02T19:51:16Z,1328230276.0
40.7509667,-74.0085629,2.091,2012-02-02T19:51:19Z,1328230279.0
40.7507792,-74.0086210,3.403,2012-02-02T19:51:22Z,1328230282.0
40.7505793,-74.0086566,4.148,2012-02-02T19:51:25Z,1328230285.0
40.7504441,-74.0086636,4.298,2012-02-02T19:51:27Z,1328230287.0
40.7503166,-74.0086643,4.075,2012-02-02T19:51:29Z,1328230289.0
40.7501454,-74.0086510,3.468,2012-02-02T19:51:32Z,1328230292.0
40.7499995,-74.0086365,2.537,2012-02-02T19:51:35Z,1328230295.0
